from,to
Platzeck,SPD
Pofalla,CDU
Pofalla,DB
Praetorius,HTW
Tillich,CDU
Tillich,MIBRAG
Hasselfeldt,DRK
Hasselfeldt,CSU
Kampeter,CDU
Kampeter,BDA
Kapferer,BDEW
Kapferer,FdP
Kempf,BDI
Kempf,DdB
Nemat,Telekom
Nemat,Airbus
Reiche,VKU
Reiche,CDU
Roestel,SD
Roestel,EnBW
Schweitzer,Alba
Schweitzer,DIHT
Grothus,BfB
Wodtke,CDU
Wodtke,GZW
Herntier,Spremb
Kreuzberg,CDU
Kreuzberg,REK
Priggen,LEENRW
Priggen,Buendnis90
Vassiliadis,IGBCE
Vassiliadis,SPD
Scheidt,SPD
Scheidt,Verdi
Scheidt,Eon
Koerzell,SPD
Koerzell,DGB
Kaiser,Greenpeace
Weiger,BUND
Niebert,DNR
Niebert,UZ
Allmendinger,WZB
Allmendinger,BHU
Matthes,IaOe
Schellnhuber,PIK
Schellnhuber,UP
Niebuhr,UK
Niebuhr,CAU
Wehrspohn,IMWS
Wehrspohn,MLU
Laemmel,BT
Laemmel,CDU
Laemmel,PKM
Lenz,BT
Lenz,CSU
Lenz,PBnI
Miersch,BT
Miersch,SPD
Platzeck,KK
Pofalla,KK
Praetorius,KK
Tillich,KK
Hasselfeldt,KK
Kampeter,KK
Kapferer,KK
Kempf,KK
Nemat,KK
Reiche,KK
Roestel,KK
Schweitzer,KK
Grothus,KK
Wodtke,KK
Herntier,KK
Kreuzberg,KK
Priggen,KK
Vassiliadis,KK
Scheidt,KK
Koerzell,KK
Kaiser,KK
Weiger,KK
Niebert,KK
Allmendinger,KK
Matthes,KK
Schellnhuber,KK
Niebuhr,KK
Wehrspohn,KK
Laemmel,KK
Lenz,KK
Miersch,KK