id,type,sex,age,party,representation,position,state
Platzeck,0,2,4,4,1,1,5
Pofalla,0,2,4,2,2,1,4
Praetorius,0,1,3,1,6,1,14
Tillich,0,2,4,2,1,1,10
Hasselfeldt,0,1,4,3,1,2,1
Kampeter,0,2,3,2,2,2,4
Kapferer,0,2,3,6,2,2,3
Kempf,0,2,4,1,2,2,1
Nemat,0,1,3,1,2,2,4
Reiche,0,1,2,2,2,2,5
Roestel,0,1,3,5,2,2,10
Schweitzer,0,2,3,1,2,2,14
Grothus,0,1,3,1,5,2,9
Wodtke,0,1,99,2,5,2,5
Herntier,0,1,4,1,5,2,5
Kreuzberg,0,2,4,2,5,2,4
Priggen,0,2,4,5,5,2,4
Vassiliadis,0,2,3,4,3,2,4
Scheidt,0,2,3,4,3,2,4
Koerzell,0,2,3,4,3,2,7
Kaiser,0,2,3,1,4,2,99
Weiger,0,2,5,1,4,2,1
Niebert,0,2,1,1,4,2,2
Allmendinger,0,1,4,1,6,2,3
Matthes,0,2,3,1,6,2,14
Schellnhuber,0,2,5,1,6,2,1
Niebuhr,0,1,3,1,6,2,12
Wehrspohn,0,2,3,1,6,2,12
Laemmel,0,2,3,2,1,3,10
Lenz,0,2,1,3,1,3,1
Miersch,0,2,2,4,1,3,2
CDU,1,99,99,2,99,99,99
CSU,1,99,99,3,99,99,99
SPD,1,99,99,4,99,99,99
Buendnis90,1,99,99,5,99,99,99
Fdp,1,99,99,6,99,99,99
DB,1,99,99,99,99,99,99
HTW,1,99,99,99,99,99,99
MIBRAG,1,99,99,99,99,99,99
DRK,1,99,99,99,99,99,99
BDA,1,99,99,99,99,99,99
BDEW,1,99,99,99,99,99,99
BDI,1,99,99,99,99,99,99
DdB,1,99,99,99,99,99,99
Telekom,1,99,99,99,99,99,99
Airbus,1,99,99,99,99,99,99
VKU,1,99,99,99,99,99,99
SD,1,99,99,99,99,99,99
EnBW,1,99,99,99,99,99,99
Alba,1,99,99,99,99,99,99
DIHT,1,99,99,99,99,99,99
BfB,1,99,99,99,99,99,99
GZW,1,99,99,99,99,99,99
Spremb,1,99,99,99,99,99,99
REK,1,99,99,99,99,99,99
LEENRW,1,99,99,99,99,99,99
IGBCE,1,99,99,99,99,99,99
Verdi,1,99,99,99,99,99,99
Eon,1,99,99,99,99,99,99
DGB,1,99,99,99,99,99,99
Greenpeace,1,99,99,99,99,99,99
BUND,1,99,99,99,99,99,99
DNR,1,99,99,99,99,99,99
UZ,1,99,99,99,99,99,99
WZB,1,99,99,99,99,99,99
BHU,1,99,99,99,99,99,99
IaOe,1,99,99,99,99,99,99
PIK,1,99,99,99,99,99,99
UP,1,99,99,99,99,99,99
UK,1,99,99,99,99,99,99
CAU,1,99,99,99,99,99,99
IMWS,1,99,99,99,99,99,99
MLU,1,99,99,99,99,99,99
BT,1,99,99,99,99,99,99
PKM,1,99,99,99,99,99,99
PBnI,1,99,99,99,99,99,99